"","PU_4Km_ID","raw_score","obs_score","UpperOceanSR","depth","max_depth","dive_samps","hook_samps","mid_samps","deep_samps","normalized_obs_score","normalized_score","rockfish_rank","rockfish_hotspot","rockfish_hotspot2"
"1",6265,0.443461537404581,0.0752930674698887,"(13) Eastern Queen Charlotte Sound",18,28,3,0,0,0,0.0470360551883991,0.0846104513245168,3,0,1
"2",6267,1.5872602359194,0.876289811661367,"(11) Mainland Fjords",24.5571425,30,7,0,0,0,0.547423784518004,0.302842058674584,8,0,1
"3",6423,1.02701625328657,0.254312316984834,"(13) Eastern Queen Charlotte Sound",21.5,31,14,0,0,0,0.158870511970735,0.19595004612297,7,0,1
"4",6424,1.28452609409504,0.508630659889984,"(11) Mainland Fjords",15.8,28,5,0,0,0,0.317744788371981,0.245081756572599,8,0,1
"5",6425,1.25111450924272,0.51888285488786,"(11) Mainland Fjords",20.3366658333333,32,15,0,0,0,0.324149399392978,0.238706977622508,7,0,1
"6",6426,1.47865533764114,0.432950532300133,"(11) Mainland Fjords",25.5,33,2,0,0,0,0.270466934279971,0.282120736340391,8,0,1
"7",6581,0.751627650593181,0.257272709730127,"(13) Eastern Queen Charlotte Sound",27.3684210526316,34,2,1,0,0,0.160719888031852,0.143407148942109,5,0,1
"8",6582,0.477991430878231,0.540688431965594,"(13) Eastern Queen Charlotte Sound",41,41,0,1,0,0,0.337771481230106,0.0911985984907671,3,0,1
"9",6736,2.76550729297432,0.580704195830458,"(13) Eastern Queen Charlotte Sound",77.9583333333333,84,0,1,2,0,0.362769581862762,0.527646256695142,10,1,1
"10",6737,0.894580954076602,0.0166633459126405,"(13) Eastern Queen Charlotte Sound",76.425,76.425,0,0,1,0,0.010409697523398,0.170681991303529,6,0,1
"11",6739,0.963865153945207,0.134587977911084,"(11) Mainland Fjords",34.8157894736842,78,1,2,0,0,0.0840779605539709,0.183901102604251,6,0,1
"12",6740,0.254042195640288,0.0483335421014441,"(11) Mainland Fjords",21.3421052631579,41,6,2,0,0,0.0301942692751032,0.0484700994688201,2,0,1
"13",6741,0.165787880679785,0.0380779512523702,"(11) Mainland Fjords",19.3333324561403,30,3,0,0,0,0.0237875368443971,0.0316315761915879,1,0,1
"14",6742,0.612259483704604,0.184601874465716,"(11) Mainland Fjords",18.4,30,5,0,0,0,0.11532195787778,0.116816334393169,4,0,1
"15",6895,0.953774261248121,0.299426945843576,"(13) Eastern Queen Charlotte Sound",38.00907375,80,4,2,3,0,0.187053905795837,0.181975806015139,6,0,1
"16",6896,0.443117629241945,0.125381979142229,"(11) Mainland Fjords",18.6,30,10,0,0,0,0.0783269149304232,0.0845448352058674,3,0,1
"17",6899,0.573398944466092,0.0930358905646122,"(11) Mainland Fjords",25.3619791666667,33,8,0,1,0,0.0581201089309985,0.109401919643858,4,0,1
"18",6900,0.50821218337055,0.122487524633101,"(11) Mainland Fjords",16.6666675438597,30,15,0,0,0,0.076518730902244,0.0969645810891832,3,0,1
"19",7051,1.33955715597755,0.385179115298931,"(13) Eastern Queen Charlotte Sound",21,22,2,0,0,0,0.240623828108275,0.255581433748658,8,0,1
"20",7052,0.912572399906678,0.204880581729011,"(13) Eastern Queen Charlotte Sound",25,30,2,0,0,0,0.12799019449023,0.174114677620752,6,0,1
"21",7054,0.976129913694437,0.66983117446621,"(11) Mainland Fjords",20.6,32,5,0,0,0,0.418447768802922,0.186241163173749,6,0,1
"22",7056,0.538636760047412,0.0130546327023205,"(11) Mainland Fjords",40.6045220308333,63.35862069,0,1,14,0,0.0081553115696368,0.102769452418166,4,0,1
"23",7057,0.692134441634089,0.0682499966432893,"(11) Mainland Fjords",44.4208134195833,113,8,0,30,0,0.0426362043226043,0.13205611432875,5,0,1
"24",7058,0.34841440243154,0.0340469087960414,"(11) Mainland Fjords",25.2994047208333,31.45735294,3,0,2,0,0.021269319141041,0.0664758887776992,2,0,1
"25",7060,0.52640887727157,0.0902704559239001,"(11) Mainland Fjords",18.375,30,8,0,0,0,0.0563925244301749,0.100436427808045,4,0,1
"26",7208,0.401196606318065,0.127731988800879,"(13) Eastern Queen Charlotte Sound",25.8157894736842,43,2,2,0,0,0.0797949808189826,0.0765464940411883,3,0,1
"27",7214,1.02353723964253,0.228556015830195,"(11) Mainland Fjords",34.9509410875794,94,8,3,7,0,0.142780387829583,0.195286266088496,7,0,1
"28",7215,0.5136602423193,0.0971276873103268,"(11) Mainland Fjords",22.75,30,4,0,0,0,0.0606762802229719,0.0980040460429966,4,0,1
"29",7216,1.744090320102,0.40380565067447,"(11) Mainland Fjords",54.7,54.7,0,0,3,0,0.252259942498792,0.332764527896184,9,1,1
"30",7217,1.0725817660969,0.256981795785903,"(11) Mainland Fjords",76.4453114323718,185.7,2,0,13,0,0.16053815225198,0.204643739439146,7,0,1
"31",7218,1.66144678683218,0.242185663043006,"(11) Mainland Fjords",27,27,1,0,0,0,0.151294914598685,0.316996516334378,9,1,1
"32",7370,0.278934809183309,0.0622371860462306,"(11) Mainland Fjords",17.6666675438597,30,3,0,0,0,0.0388799635346493,0.0532194973057745,2,0,1
"33",7372,1.19314321038192,0.393295732321368,"(11) Mainland Fjords",104.349999997639,123.0333333,0,0,9,0,0.245694330068673,0.227646316557766,7,0,1
"34",7373,0.860934775415916,0.0164433153936522,"(11) Mainland Fjords",66.4597250138889,101.2667,3,0,1,0,0.0102722430673367,0.164262452918109,6,0,1
"35",7374,0.719486242833689,0.134294509315825,"(11) Mainland Fjords",21.4,33,5,0,0,0,0.0838946288674488,0.137274714024185,5,0,1
"36",7375,0.529748426289353,0.475399009113564,"(11) Mainland Fjords",63.4720272780682,117.75,0,0,11,0,0.296984766069179,0.10107359862396,4,0,1
"37",7376,0.427744988971893,0.145191904148311,"(11) Mainland Fjords",25.0131951388889,31,3,0,2,0,0.0907023003035423,0.0816118051196259,3,0,1
"38",7524,1.67444892473206,1.1420084572319,"(13) Eastern Queen Charlotte Sound",32,38,0,1,0,0,0.713419902057519,0.319477265312814,9,1,1
"39",7528,1.29261921216074,0.286649248021673,"(11) Mainland Fjords",19.8,30,5,0,0,0,0.179071597196549,0.246625886817061,8,0,1
"40",7529,2.3695559176222,0.790715369435417,"(11) Mainland Fjords",38.8858128313355,137.9667,3,0,13,0,0.493964889529219,0.452100528947976,10,1,1
"41",7530,1.66346202498585,0.863783825500243,"(11) Mainland Fjords",35.0890998160109,66,0,1,23,0,0.539611215910738,0.317381014639926,9,1,1
"42",7533,0.594440246526037,0,"(11) Mainland Fjords",70,70,0,0,1,0,0,0.113416504706109,4,0,1
"43",7534,0.368762913196677,0.0407258412028766,"(11) Mainland Fjords",27.5807128618687,61.45071429,6,0,11,0,0.0254416904342297,0.0703582924010134,2,0,1
"44",7686,1.0156031277286,0.0984485072878255,"(11) Mainland Fjords",67.9963067002778,154.1586,6,0,5,0,0.0615014048120373,0.19377247349709,6,0,1
"45",7687,0.837393451564061,0.177951061345185,"(11) Mainland Fjords",51.9402932947123,192.8684211,12,3,42,0,0.111167152880492,0.159770875029439,5,0,1
"46",7688,0.756885699321962,0.179270268372561,"(11) Mainland Fjords",67.4224280600901,167.3277,16,2,16,29,0.11199126984942,0.144410360807183,5,0,1
"47",7689,0.457870234123426,0.090800551120253,"(11) Mainland Fjords",26.478947368421,45,5,1,0,0,0.0567236782501562,0.0873595653503118,3,0,1
"48",7843,1.39761479655915,0.374637705584874,"(11) Mainland Fjords",17.8823521671827,32,17,0,0,0,0.234038542825905,0.266658568422379,8,0,1
"49",7845,0.85728485953853,0.139872252560841,"(11) Mainland Fjords",34.6681371820313,171.3774319,13,0,16,0,0.0873790803304501,0.163566065512135,5,0,1
"50",7846,0.481438745375717,0.0772274817402609,"(11) Mainland Fjords",62.7584658318333,100.8333333,8,1,10,0,0.0482444960108538,0.0918563304717569,3,0,1
"51",7847,2.01941512963829,0.860153825405626,"(11) Mainland Fjords",39.0864763027778,87.6,3,0,14,0,0.537343531905799,0.385295253631816,9,1,1
"52",7850,0.795309328779173,0.0301826533077366,"(11) Mainland Fjords",71,71,0,0,1,0,0.0188552943108975,0.151741415150538,5,0,1
"53",7851,0.0944034801548068,0.00833063466790281,"(11) Mainland Fjords",16.25,29,4,0,0,0,0.00520420013636145,0.0180117561248972,1,0,1
"54",7852,0.942921629847853,0.38580364546999,"(11) Mainland Fjords",17.5555567251462,30,9,0,0,0,0.241013976053894,0.179905173134079,6,0,1
"55",7853,0.234157458388209,0.0340934125189355,"(11) Mainland Fjords",17.6666675438597,30,3,0,0,0,0.0212983703106907,0.04467618172972,2,0,1
"56",7997,3.03459734018395,0.907532909536648,"(13) Eastern Queen Charlotte Sound",31.3638893041667,35.53333333,2,0,1,0,0.566941545253492,0.578987418038229,10,1,1
