Descriptive ID,Date,Transect.Transect Number,Depth,GlassSponge1,GlassSponge2,GlassSponge3,Species,TL,Multiplier,PU_1Km_ID,PU_4Km_ID,UpperOceanSR,RCA_DistKM,RCA_Name,RCA
wds-07-03-2021,7-Mar-21,1,29,1,1,1,canary,19,4,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,canary,22,4,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,canary,13,8,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,canary,16,3,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,quillback,12,1,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,quillback,15,1,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,quillback,17,1,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,quillback,18,1,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,quillback,19,1,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,quillback,22,1,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,quillback,10,1,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,quillback,13,1,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,yellowtail,15,6,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,yellowtail,22,3,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,yellowtail,24,3,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,yellowtail,12,6,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,quillback,35,1,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,quillback,14,1,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,quillback,14,6,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,quillback,18,8,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,quillback,12,4,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,quillback,10,3,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,canary,24,4,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,canary,14,6,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,canary,17,41,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,tiger,22,1,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,copper,22,1,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,quillback,16,1,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,quillback,19,1,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
wds-07-03-2021,7-Mar-21,1,29,1,1,1,quillback,21,1,33117,8473,(11) Mainland Fjords,23.44,West Calvert,out
