"","PU_1Km_ID","species","normalized_lambda","normalized_cpue","PU_4Km_ID","depth","max_depth","UpperOceanSR","sample_sizes","dive_samps","hook_samps","mid_samps","deep_samps"
"1",21076,"black",0.00808984052346993,0,6265,28,28,"(13) Eastern Queen Charlotte Sound",1,1,0,0,0
"2",21082,"black",0.00505578166007624,0,6267,24.5,30,"(11) Mainland Fjords",2,2,0,0,0
"3",21284,"black",0.00273802959100323,0,6265,13,19,"(13) Eastern Queen Charlotte Sound",2,2,0,0,0
"4",21500,"black",0.101701971045951,0.0627177700348432,6267,24.4,30,"(11) Mainland Fjords",5,5,0,0,0
"5",21711,"black",0.392625416981208,0.503484320557491,6424,23,28,"(11) Mainland Fjords",2,2,0,0,0
"6",21933,"black",0.117081651166092,0.0383275261324042,6423,20.8,30,"(13) Eastern Queen Charlotte Sound",5,5,0,0,0
"7",21938,"black",0.0217975054107352,0.00696864111498258,6424,11,18,"(11) Mainland Fjords",3,3,0,0,0
"8",21939,"black",0.0698983765267715,0.0383275261324042,6425,22.75,30,"(11) Mainland Fjords",4,4,0,0,0
"9",21940,"black",0.109824846234393,0.0958188153310105,6425,23.5,31,"(11) Mainland Fjords",2,2,0,0,0
"10",21941,"black",0.00166496489614264,0,6425,17.6666666666667,30,"(11) Mainland Fjords",3,3,0,0,0
"11",22157,"black",0.00560782664605101,0.00174216027874564,6423,24.5,30,"(13) Eastern Queen Charlotte Sound",2,2,0,0,0
"12",22158,"black",0.0104476935914441,0.00522648083623693,6423,24.5,31,"(13) Eastern Queen Charlotte Sound",2,2,0,0,0
"13",22163,"black",0.231592511080294,0.121951219512195,6425,18,32,"(11) Mainland Fjords",6,6,0,0,0
"14",22167,"black",0.00990580945659687,0,6426,25.5,33,"(11) Mainland Fjords",2,2,0,0,0
"15",22374,"black",0.0057900749072413,0.000696864111498258,6423,19.8,31,"(13) Eastern Queen Charlotte Sound",5,5,0,0,0
"16",22601,"black",0.0703918442688001,0,6582,41,41,"(13) Eastern Queen Charlotte Sound",1,0,1,0,0
"17",23031,"black",0.00538002961198645,0,6581,25,30,"(13) Eastern Queen Charlotte Sound",2,2,0,0,0
"18",23231,"black",0.13136574272955,0,6581,34,34,"(11) Mainland Fjords",1,0,1,0,0
"19",23419,"black",0.0680827226044099,0,6736,55,55,"(13) Eastern Queen Charlotte Sound",1,0,1,0,0
"20",23420,"black",0.00512404437487651,0,6736,84,84,"(13) Eastern Queen Charlotte Sound",2,0,0,2,0
"21",23432,"black",0.0602911935036334,0.0696864111498258,6739,26,26,"(11) Mainland Fjords",1,1,0,0,0
"22",23433,"black",0.0173122755274078,0,6739,78,78,"(11) Mainland Fjords",1,0,1,0,0
"23",23434,"black",0.0122614805571785,0,6740,20.6666666666667,26,"(11) Mainland Fjords",4,3,1,0,0
"24",23435,"black",0.0517868962139448,0.0174216027874564,6740,29.8333333333333,41,"(11) Mainland Fjords",4,3,1,0,0
"25",23636,"black",0.0468080703945374,0,6739,41,41,"(11) Mainland Fjords",1,0,1,0,0
"26",23845,"black",0.00108308984215553,0,6741,19.3333333333333,30,"(11) Mainland Fjords",3,3,0,0,0
"27",24038,"black",0.00306637784978802,0,6737,76.425,76.425,"(13) Eastern Queen Charlotte Sound",1,0,0,1,0
"28",24056,"black",0.00401465841547846,0,6742,26,30,"(11) Mainland Fjords",2,2,0,0,0
"29",24058,"black",0.0817610868803317,0.0731707317073171,6742,13.3333333333333,25,"(11) Mainland Fjords",3,3,0,0,0
"30",24256,"black",0.0794423522771934,0.167247386759582,6895,42.6344444444444,80,"(13) Eastern Queen Charlotte Sound",6,2,1,3,0
"31",24272,"black",0.0101580403170804,0,6899,30,30,"(11) Mainland Fjords",1,0,0,1,0
"32",24275,"black",0.00743069814233866,0,6900,16.6666666666667,30,"(11) Mainland Fjords",3,3,0,0,0
"33",24276,"black",0.000692541304481385,0,6900,17.3333333333333,25,"(11) Mainland Fjords",3,3,0,0,0
"34",24468,"black",0.000630843354780073,0,6896,15,19,"(13) Eastern Queen Charlotte Sound",3,3,0,0,0
"35",24481,"black",0.0128800508560503,0,6899,25.5,33,"(11) Mainland Fjords",2,2,0,0,0
"36",24482,"black",2.20962337328357e-05,0,6899,15,21,"(11) Mainland Fjords",3,3,0,0,0
"37",24484,"black",0.000500384051864427,0,6900,13.3333333333333,24,"(11) Mainland Fjords",3,3,0,0,0
"38",24486,"black",0.00283220433006038,0,6900,18.3333333333333,30,"(11) Mainland Fjords",3,3,0,0,0
"39",24678,"black",0.0285889396014191,0.00958188153310104,6896,22,30,"(11) Mainland Fjords",4,4,0,0,0
"40",24691,"black",0.000172934966504413,0,6899,16.3333333333333,27,"(11) Mainland Fjords",3,3,0,0,0
"41",24694,"black",0.00837870831004753,0,6900,17.6666666666667,30,"(11) Mainland Fjords",3,3,0,0,0
"42",24887,"black",0.00903938354474855,0,6895,24.5,31,"(13) Eastern Queen Charlotte Sound",2,2,0,0,0
"43",24888,"black",0.115523504195633,0,6895,42,56,"(13) Eastern Queen Charlotte Sound",1,0,1,0,0
"44",24891,"black",0.00225153089298668,0,6896,17.6666666666667,30,"(11) Mainland Fjords",3,3,0,0,0
"45",25100,"black",0.171290675582983,0.137630662020906,7051,21,22,"(13) Eastern Queen Charlotte Sound",2,2,0,0,0
"46",25122,"black",0.030767274407074,0.0156549921924177,7057,36.3890034994444,84.32284159,"(11) Mainland Fjords",11,2,0,9,0
"47",25123,"black",0.0049960056523882,0,7057,63.38477879375,99.28541667,"(11) Mainland Fjords",8,0,0,8,0
"48",25124,"black",0.00807655446888057,0,7058,31.39211733,31.45735294,"(11) Mainland Fjords",2,0,0,2,0
